UF;CBO Ocupação 2002;CNAE 2.0 Classe;Escolaridade após 2005;Idade;Raça Cor;Vl Remun Dezembro Nom;Sexo Trabalhador
MS;317210;95118;                  07;  32;09;3759.00;                  01
MS;317210;85201;                  07;  23;02;1363.61;                  01
MS;317210;85201;                  07;  18;08;1350.37;                  01
MS;317210;85201;                  07;  22;08;1323.89;                  01
MS;317210;14118;                  07;  27;02;1440.00;                  01
MS;317210;85201;                  07;  31;08;1323.89;                  01
MS;317210;85201;                  07;  23;02;1390.08;                  01
MS;317210;85201;                  07;  23;08;1390.08;                  01
MS;317210;85201;                  07;  22;02;1323.89;                  01
MS;317210;85201;                  07;  22;08;1323.89;                  01
MS;317210;85201;                  07;  21;08;1323.89;                  01
MS;212410;49302;                  07;  27;02;1588.00;                  01
MS;317110;47512;                  07;  56;02;1400.00;                  01
MS;142510;47512;                  07;  29;02;1500.00;                  01
MS;317210;86101;                  07;  37;02;4808.82;                  01
MS;317205;45111;                  07;  43;08;7612.97;                  01
MS;212420;86101;                  07;  33;02;2656.00;                  01
MS;317210;61906;                  07;  41;08;2789.38;                  01
MS;317110;70204;                  07;  43;02;7138.13;                  01
MS;212320;82199;                  07;  39;02;3912.80;                  01
MS;317110;84116;                  07;  38;99;2669.64;                  01
MS;317210;47610;                  07;  20;02;1100.00;                  01
MS;317210;84116;                  07;  23;99;1774.10;                  01
MS;317210;85201;                  07;  41;02;1765.19;                  01
MS;142530;62031;                  07;  36;02;5695.00;                  01
MS;212420;62031;                  07;  26;02;4000.00;                  01
MS;212420;62031;                  07;  22;02;1870.00;                  01
MS;317110;86101;                  07;  35;08;3963.21;                  01
MS;142530;85317;                  07;  20;99;2446.96;                  01
MS;317205;41204;                  07;  39;02;4084.16;                  01
MS;142515;47113;                  07;  39;08;7787.45;                  01
MS;317210;85201;                  07;  26;02;1323.89;                  01
MS;317210;85201;                  07;  27;01;1390.08;                  01
MS;317210;62091;                  07;  43;08;2259.10;                  01
MS;317110;85317;                  07;  27;02;2394.44;                  01
MS;317210;85201;                  07;  23;02;1337.13;                  01
MS;317210;85201;                  07;  25;06;1765.19;                  01
MS;317210;85201;                  07;  29;02;1356.99;                  01
MS;317210;85201;                  07;  27;08;1781.74;                  01
MS;317205;62031;                  07;  33;08;1234.00;                  01
MS;317210;62031;                  07;  32;08;2315.44;                  01
MS;317210;62031;                  07;  50;09;2646.00;                  01
MS;317205;62031;                  07;  37;08;1302.67;                  01
MS;317205;62031;                  07;  52;08;1697.00;                  01
MS;317205;62031;                  07;  28;08;946.07;                  01
MS;317210;62031;                  07;  42;08;3572.00;                  01
MS;317210;62031;                  07;  42;02;3121.00;                  01
MS;317210;62031;                  07;  44;02;2939.00;                  01
MS;212320;86101;                  07;  40;09;4879.71;                  01
MS;317205;84116;                  07;  53;99;6570.35;                  01
MS;317110;95118;                  07;  28;09;1800.00;                  01
MS;317110;95118;                  07;  25;09;1300.00;                  01
MS;317110;95118;                  07;  31;08;1800.00;                  01
MS;212405;62031;                  07;  24;09;2840.00;                  01
MS;212320;86101;                  07;  30;09;4483.61;                  01
MS;142510;46397;                  07;  37;08;3184.75;                  01
MS;317210;62031;                  07;  55;02;1957.00;                  01
MS;212410;61906;                  07;  27;08;2812.70;                  01
MS;212405;62031;                  07;  24;08;6627.00;                  01
MS;317210;62031;                  07;  32;09;2058.00;                  01
MS;317205;62031;                  07;  34;02;1302.67;                  01
MS;317210;62031;                  07;  61;09;3121.00;                  01
MS;317210;62031;                  07;  66;02;3572.00;                  01
MS;317210;62031;                  07;  59;02;2652.72;                  01
MS;142510;84116;                  07;  43;99;2100.00;                  01
MS;317210;85201;                  07;  39;08;1323.89;                  01
MS;317205;82997;                  07;  28;08;1672.54;                  01
MS;317205;95126;                  07;  35;04;1500.00;                  01
MS;317205;95126;                  07;  25;08;1350.00;                  01
MS;142510;84116;                  07;  27;99;2926.00;                  01
MS;317110;62023;                  07;  26;08;1898.00;                  01
MS;317210;85201;                  07;  35;02;470.71;                  01
MS;317210;85201;                  07;  21;08;1323.89;                  01
MS;317210;85201;                  07;  28;08;1323.89;                  01
MS;317205;47113;                  07;  42;02;2745.00;                  01
MS;317210;85201;                  07;  36;02;1623.89;                  01
MS;212420;62023;                  07;  40;08;5000.00;                  01
MS;317210;88006;                  07;  50;02;3573.00;                  01
MS;317210;84116;                  07;  34;99;2755.33;                  01
MS;317210;85201;                  07;  27;08;1356.99;                  01
MS;317210;85201;                  07;  26;08;1350.37;                  01
MS;317210;85201;                  07;  27;08;1350.37;                  01
MS;317210;85201;                  07;  23;08;1950.37;                  01
MS;317210;85201;                  07;  19;08;1323.89;                  01
MS;317210;85201;                  07;  22;08;1363.61;                  01
